Date,Rank,Name,Team,Position,Opponent,Points,Rebounds,Assists,BlockedShots,Steals,FieldGoalsPercentage,FreeThrowsPercentage,ThreePointersPercentage,FreeThrowsMade,TwoPointersMade,ThreePointersMade,Turnovers,Minutes,DoubleDoubles,TripleDoubles,FantasyPointsDraftKings
12/22/20,1,Paul George,LAC,SF,LAL,33,6,3,0,1,72.2,100,62.5,2,8,5,5,35,0,0,47
12/22/20,2,Caris Levert,BKN,SG,GS,20,9,5,1,2,35.3,83.3,60,5,3,3,2,24,0,0,45.25
12/22/20,3,Stephen Curry,GS,PG,BKN,20,4,10,0,2,33.3,100,20,4,5,2,3,30,1,0,45
12/22/20,4,Dennis Schroder,LAL,PG,LAC,14,12,8,0,0,33.3,50,40,2,3,2,1,27,1,0,43
12/22/20,5,Kevin Durant,BKN,SF,GS,22,5,3,1,3,43.8,100,50,7,6,1,1,24,0,0,40.75
12/22/20,6,Kyrie Irving,BKN,PG,GS,26,4,4,0,0,62.5,100,57.1,2,6,4,1,25,0,0,38.5
12/22/20,7,Montrezl Harrell,LAL,PF,LAC,17,10,3,1,0,85.7,71.4,0,5,6,0,1,32,1,0,37
12/22/20,8,Kawhi Leonard,LAC,SF,LAL,26,2,3,0,2,38.5,100,12.5,5,9,1,3,34,0,0,36
12/22/20,9,LeBron James,LAL,SF,LAC,22,5,5,0,0,41.2,71.4,37.5,5,4,3,4,28,0,0,35.25
12/22/20,10,James Wiseman,GS,C,BKN,19,6,0,0,2,53.8,50,100,4,6,1,1,24,0,0,30.5
12/22/20,11,Anthony Davis,LAL,PF,LAC,18,7,2,0,0,53.3,100,0,2,8,0,4,30,0,0,27.75
12/22/20,12,Serge Ibaka,LAC,PF,LAL,15,6,0,1,0,71.4,60,66.7,3,3,2,1,20,0,0,25
12/22/20,13,Jarrett Allen,BKN,C,GS,8,7,2,2,1,66.7,80,0,4,2,0,2,19,0,0,24.75
12/22/20,14,Joe Harris,BKN,SF,GS,10,7,2,1,0,50,0,40,0,2,2,2,20,0,0,23.75
12/22/20,15,Ivica Zubac,LAC,C,LAL,11,6,1,1,1,80,75,0,3,4,0,1,26,0,0,23.5
12/22/20,15,Nicolas Batum,LAC,SG,LAL,3,6,6,0,2,25,0,33.3,0,0,1,1,28,0,0,23.5
12/22/20,17,Kelly Oubre Jr.,GS,SF,BKN,6,7,2,2,1,21.4,0,0,0,3,0,3,25,0,0,22.25
12/22/20,18,Patrick Beverley,LAC,PG,LAL,10,6,3,0,0,44.4,0,40,0,2,2,2,22,0,0,22
12/22/20,19,DeAndre Jordan,BKN,C,GS,4,11,1,1,1,66.7,0,0,0,2,0,3,17,0,0,21.75
12/22/20,20,Marquese Chriss,GS,PF,BKN,9,8,1,0,0,40,0,33.3,0,3,1,0,12,0,0,21
12/22/20,21,Spencer Dinwiddie,BKN,PG,GS,9,5,4,0,0,33.3,100,33.3,4,1,1,3,19,0,0,20.25
12/22/20,22,Lou Williams,LAC,SG,LAL,11,2,3,0,0,44.4,33.3,50,1,2,2,1,25,0,0,18.5
12/22/20,22,Kentavious Caldwell-Pope,LAL,SG,LAC,9,2,1,1,2,50,100,33.3,4,1,1,2,23,0,0,18.5
12/22/20,24,Andrew Wiggins,GS,SF,BKN,13,2,1,1,0,25,75,33.3,3,2,2,4,31,0,0,18
12/22/20,25,Juan Toscano-Anderson,GS,PF,BKN,4,4,2,2,0,100,0,0,0,2,0,0,13,0,0,16
12/22/20,26,Kyle Kuzma,LAL,PF,LAC,15,1,0,0,0,54.5,100,33.3,2,5,1,2,26,0,0,15.75
12/22/20,27,Damion Lee,GS,SG,BKN,3,7,2,0,0,50,0,100,0,0,1,0,12,0,0,15.25
12/22/20,28,Luke Kennard,LAC,SG,LAL,4,2,2,1,2,33.3,0,0,0,2,0,1,21,0,0,15
12/22/20,29,Patrick Patterson,LAC,PF,LAL,3,3,1,0,2,20,0,25,0,0,1,1,19,0,0,12.25
